business_name,account_size,sale_price,funded_full_price,discount_coupon_code,trail_type,trustpilot_score,profit_goal,scraped_at
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.901689
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.901923
Alpha Capital Group,,,,,assessment,,,2025-06-20T02:08:26.902547
Alpha Capital Group,,,,,assessment,,,2025-06-20T02:08:26.902612
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.903814
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.904005
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.904202
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.904400
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.904575
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:08:26.904751
